amount_paise,amount_log1p,payment_method,is_international,card_network,card_type,issuer,card_sub_type,payment_hour_utc,payment_day_of_week,outcome
1847,7.521859,netbanking,0,unknown,unknown,unknown,unknown,17,0,0
21922,9.995292,netbanking,0,unknown,unknown,unknown,unknown,11,2,0
31354,10.353129,upi,0,unknown,unknown,unknown,unknown,16,2,0
14360,9.572271,upi,0,unknown,unknown,unknown,unknown,13,5,0
8035,8.991687,netbanking,0,unknown,unknown,unknown,unknown,0,3,0
2448,7.803435,card,0,mastercard,debit,indusind,consumer,2,5,0
1878,7.538495,card,0,visa,credit,rbl,consumer,21,2,0
1342,7.202661,upi,0,unknown,unknown,unknown,unknown,16,3,0
21373,9.969931,emi,0,unknown,unknown,unknown,unknown,14,4,0
1933,7.567346,wallet,0,unknown,unknown,unknown,unknown,1,4,0
1523,7.329094,wallet,0,unknown,unknown,unknown,unknown,12,1,0
520,6.25575,card,0,rupay,debit,hdfc,consumer,5,1,0
1801,7.496652,wallet,0,unknown,unknown,unknown,unknown,7,0,0
2138,7.668094,netbanking,0,unknown,unknown,unknown,unknown,18,6,0
2030,7.616284,card,0,visa,credit,axis,consumer,13,3,0
571,6.349139,upi,0,unknown,unknown,unknown,unknown,22,4,0
25302,10.138678,upi,0,unknown,unknown,unknown,unknown,19,6,1
16287,9.698184,card,0,visa,debit,axis,consumer,20,1,0
8554,9.054271,wallet,0,unknown,unknown,unknown,unknown,4,2,0
3518,8.165932,card,0,mastercard,debit,sbi,consumer,7,3,0
13583,9.516648,pay_later,0,unknown,unknown,unknown,unknown,21,5,0
11957,9.389156,card,0,visa,debit,rbl,consumer,12,6,0
2474,7.813996,card,0,rupay,debit,kotak_mahindra,consumer,7,1,0
1369,7.222566,upi,0,unknown,unknown,unknown,unknown,5,1,0
612,6.418365,netbanking,0,unknown,unknown,unknown,unknown,11,6,0
4244,8.353497,upi,0,unknown,unknown,unknown,unknown,2,0,0
1828,7.511525,card,0,amex,debit,axis,consumer,1,2,0
1369,7.222566,upi,0,unknown,unknown,unknown,unknown,4,5,0
1051,6.958448,card,0,mastercard,debit,icici,consumer,12,6,0
19266,9.866149,card,1,visa,debit,hdfc,consumer,15,1,0
1183,7.076654,emi,0,unknown,unknown,unknown,unknown,19,6,0
1622,7.392032,upi,0,unknown,unknown,unknown,unknown,6,2,0
1753,7.469654,upi,0,unknown,unknown,unknown,unknown,5,5,0
7367,8.904902,card,0,visa,debit,indusind,consumer,8,2,0
8985,9.103423,card,0,mastercard,debit,sbi,consumer,9,6,0
4411,8.392083,card,0,mastercard,credit,rbl,business,3,6,0
736,6.602588,upi,0,unknown,unknown,unknown,unknown,14,2,0
4339,8.37563,upi,0,unknown,unknown,unknown,unknown,12,4,0
9460,9.154933,card,1,mastercard,credit,rbl,consumer,12,3,1
10436,9.253112,card,0,mastercard,debit,rbl,consumer,16,4,0
2466,7.810758,upi,0,unknown,unknown,unknown,unknown,5,3,0
14053,9.550662,card,0,visa,credit,sbi,business,13,3,0
1976,7.589336,upi,0,unknown,unknown,unknown,unknown,23,4,0
903,6.806829,wallet,0,unknown,unknown,unknown,unknown,16,6,0
4290,8.364275,pay_later,0,unknown,unknown,unknown,unknown,0,0,0
10500,9.259226,card,0,mastercard,debit,kotak_mahindra,consumer,23,1,0
13386,9.502039,upi,0,unknown,unknown,unknown,unknown,1,6,0
477,6.169611,upi,0,unknown,unknown,unknown,unknown,0,2,0
1843,7.519692,wallet,0,unknown,unknown,unknown,unknown,8,5,0
3606,8.190632,wallet,0,unknown,unknown,unknown,unknown,12,2,0
7751,8.955706,card,1,rupay,debit,yes_bank,consumer,0,5,1
8604,9.060099,netbanking,0,unknown,unknown,unknown,unknown,2,1,0
1422,7.260523,netbanking,0,unknown,unknown,unknown,unknown,14,1,0
4195,8.341887,upi,0,unknown,unknown,unknown,unknown,21,2,0
1752,7.469084,card,0,rupay,credit,indusind,consumer,15,1,0
4020,8.299286,upi,0,unknown,unknown,unknown,unknown,2,0,0
7268,8.891374,card,0,visa,credit,indusind,consumer,15,5,0
10696,9.277719,upi,0,unknown,unknown,unknown,unknown,13,4,0
3403,8.132706,upi,0,unknown,unknown,unknown,unknown,13,2,0
486,6.188264,card,0,mastercard,debit,icici,consumer,0,5,0
6545,8.786609,card,0,rupay,credit,rbl,consumer,12,6,0
8755,9.077494,upi,0,unknown,unknown,unknown,unknown,3,2,0
3403,8.132706,pay_later,0,unknown,unknown,unknown,unknown,10,2,0
9390,9.147507,pay_later,0,unknown,unknown,unknown,unknown,12,2,0
1295,7.167038,card,0,mastercard,debit,yes_bank,consumer,21,4,0
2024,7.613325,upi,0,unknown,unknown,unknown,unknown,23,1,0
1353,7.210818,netbanking,0,unknown,unknown,unknown,unknown,9,2,0
1960,7.58121,netbanking,0,unknown,unknown,unknown,unknown,0,5,0
153840,11.943675,upi,0,unknown,unknown,unknown,unknown,7,1,0
190832,12.159154,pay_later,0,unknown,unknown,unknown,unknown,15,2,1
1309,7.177782,card,0,mastercard,credit,yes_bank,consumer,4,1,0
2448,7.803435,netbanking,0,unknown,unknown,unknown,unknown,20,2,0
7056,8.861775,card,0,visa,credit,axis,consumer,5,3,0
764,6.639876,upi,0,unknown,unknown,unknown,unknown,7,3,0
3936,8.278174,card,0,visa,debit,rbl,consumer,1,2,0
1645,7.406103,wallet,0,unknown,unknown,unknown,unknown,5,5,0
2888,7.968666,upi,0,unknown,unknown,unknown,unknown,6,1,0
12902,9.465215,wallet,0,unknown,unknown,unknown,unknown,10,0,0
3031,8.016978,card,0,visa,credit,sbi,consumer,20,1,0
2727,7.911324,upi,0,unknown,unknown,unknown,unknown,15,0,0
1149,7.047517,upi,0,unknown,unknown,unknown,unknown,4,6,0
2409,7.787382,card,0,visa,debit,axis,consumer,12,3,0
2070,7.635787,upi,0,unknown,unknown,unknown,unknown,7,2,0
8842,9.087381,upi,0,unknown,unknown,unknown,unknown,0,3,0
2542,7.8411,netbanking,0,unknown,unknown,unknown,unknown,19,2,0
6759,8.818778,upi,0,unknown,unknown,unknown,unknown,12,0,0
18532,9.827308,card,0,visa,debit,icici,consumer,5,5,0
956,6.863803,card,0,rupay,debit,kotak_mahindra,consumer,0,2,0
2215,7.703459,upi,1,unknown,unknown,unknown,unknown,15,1,0
761,6.635947,upi,0,unknown,unknown,unknown,unknown,16,5,0
5168,8.550435,wallet,0,unknown,unknown,unknown,unknown,18,0,0
18687,9.835637,pay_later,0,unknown,unknown,unknown,unknown,21,3,0
1062,6.96885,card,0,visa,debit,yes_bank,consumer,17,6,0
8432,9.039908,upi,0,unknown,unknown,unknown,unknown,0,1,0
2033,7.61776,card,1,rupay,debit,sbi,business,16,4,0
30068,10.31125,upi,0,unknown,unknown,unknown,unknown,6,5,0
2910,7.976252,pay_later,0,unknown,unknown,unknown,unknown,14,6,0
3292,8.099554,upi,0,unknown,unknown,unknown,unknown,11,3,0
497,6.2106,upi,0,unknown,unknown,unknown,unknown,15,0,0
21069,9.955606,wallet,0,unknown,unknown,unknown,unknown,10,2,0
2172,7.683864,upi,0,unknown,unknown,unknown,unknown,14,4,0
2924,7.98105,card,0,mastercard,credit,kotak_mahindra,consumer,12,6,0
5367,8.588211,upi,0,unknown,unknown,unknown,unknown,0,4,0
1655,7.41216,netbanking,0,unknown,unknown,unknown,unknown,11,2,0
5256,8.567316,card,0,rupay,credit,rbl,consumer,15,0,0
7216,8.884195,emi,0,unknown,unknown,unknown,unknown,12,6,0
20316,9.919213,card,0,amex,credit,kotak_mahindra,consumer,23,4,0
917,6.822197,wallet,0,unknown,unknown,unknown,unknown,10,0,0
10035,9.213934,card,0,visa,debit,rbl,consumer,6,3,0
1826,7.510431,netbanking,0,unknown,unknown,unknown,unknown,0,6,0
8257,9.018938,emi,0,unknown,unknown,unknown,unknown,13,4,0
1406,7.249215,upi,0,unknown,unknown,unknown,unknown,12,1,0
8617,9.061608,upi,0,unknown,unknown,unknown,unknown,5,6,0
364,5.899897,emi,0,unknown,unknown,unknown,unknown,2,4,0
2756,7.921898,wallet,0,unknown,unknown,unknown,unknown,14,5,0
24627,10.111639,card,0,visa,credit,indusind,consumer,16,2,1
196,5.283204,netbanking,0,unknown,unknown,unknown,unknown,13,4,0
1367,7.221105,netbanking,0,unknown,unknown,unknown,unknown,1,1,0
26425,10.182104,upi,0,unknown,unknown,unknown,unknown,4,6,0
1851,7.524021,card,1,mastercard,credit,yes_bank,consumer,8,4,0
4338,8.375399,upi,0,unknown,unknown,unknown,unknown,6,3,0
1182,7.075809,netbanking,0,unknown,unknown,unknown,unknown,14,4,0
2576,7.854381,netbanking,0,unknown,unknown,unknown,unknown,0,4,0
3457,8.148446,upi,0,unknown,unknown,unknown,unknown,4,1,0
2377,7.774015,netbanking,0,unknown,unknown,unknown,unknown,17,6,0
3447,8.14555,upi,0,unknown,unknown,unknown,unknown,14,2,0
10723,9.280239,upi,0,unknown,unknown,unknown,unknown,4,6,0
2463,7.809541,upi,0,unknown,unknown,unknown,unknown,9,4,0
32109,10.376923,emi,0,unknown,unknown,unknown,unknown,7,4,1
2248,7.718241,card,1,mastercard,credit,indusind,consumer,14,5,1
360,5.888878,wallet,0,unknown,unknown,unknown,unknown,13,3,0
6804,8.825413,card,0,visa,debit,yes_bank,consumer,12,6,0
3111,8.043021,card,0,rupay,debit,yes_bank,consumer,4,5,0
2189,7.691657,netbanking,0,unknown,unknown,unknown,unknown,19,4,0
7489,8.921324,netbanking,0,unknown,unknown,unknown,unknown,9,0,1
11384,9.340052,card,0,mastercard,debit,sbi,consumer,19,4,0
3713,8.219865,upi,0,unknown,unknown,unknown,unknown,0,0,0
100,4.615121,upi,0,unknown,unknown,unknown,unknown,4,0,0
4535,8.419801,card,0,mastercard,credit,yes_bank,consumer,21,1,0
5100,8.537192,wallet,0,unknown,unknown,unknown,unknown,1,0,0
1517,7.325149,emi,0,unknown,unknown,unknown,unknown,23,6,0
2292,7.737616,emi,0,unknown,unknown,unknown,unknown,2,6,0
1581,7.366445,upi,0,unknown,unknown,unknown,unknown,14,2,0
12056,9.397401,card,0,mastercard,debit,hdfc,consumer,9,0,0
959,6.866933,netbanking,0,unknown,unknown,unknown,unknown,0,4,0
3064,8.027803,card,0,mastercard,debit,hdfc,consumer,0,3,0
2192,7.693026,upi,0,unknown,unknown,unknown,unknown,16,3,0
2099,7.649693,upi,0,unknown,unknown,unknown,unknown,8,3,0
6238,8.738575,wallet,0,unknown,unknown,unknown,unknown,22,5,0
21506,9.976134,card,1,visa,credit,hdfc,consumer,17,0,0
1749,7.467371,wallet,0,unknown,unknown,unknown,unknown,7,4,0
667,6.504288,card,0,mastercard,debit,icici,consumer,10,4,0
4358,8.379998,upi,0,unknown,unknown,unknown,unknown,0,3,0
1947,7.574558,card,0,visa,debit,sbi,consumer,17,0,0
7142,8.873888,card,0,mastercard,debit,indusind,consumer,7,5,0
8204,9.012499,upi,0,unknown,unknown,unknown,unknown,20,3,0
950,6.857514,upi,0,unknown,unknown,unknown,unknown,17,6,0
25235,10.136027,upi,0,unknown,unknown,unknown,unknown,19,6,0
913,6.817831,upi,0,unknown,unknown,unknown,unknown,9,4,0
45310,10.721305,upi,0,unknown,unknown,unknown,unknown,1,0,1
7147,8.874588,card,0,amex,debit,yes_bank,consumer,22,0,0
1751,7.468513,netbanking,0,unknown,unknown,unknown,unknown,4,1,0
2076,7.63868,card,0,rupay,debit,indusind,consumer,5,1,0
8492,9.046998,card,0,amex,credit,indusind,consumer,20,2,0
1298,7.16935,card,0,visa,debit,axis,consumer,17,6,0
5864,8.676758,card,0,visa,prepaid,sbi,consumer,16,5,0
1344,7.204149,wallet,0,unknown,unknown,unknown,unknown,7,4,0
1342,7.202661,netbanking,0,unknown,unknown,unknown,unknown,13,6,0
309,5.736572,wallet,0,unknown,unknown,unknown,unknown,9,4,0
2994,8.0047,upi,0,unknown,unknown,unknown,unknown,6,0,0
1051,6.958448,card,0,visa,credit,yes_bank,consumer,21,2,0
13778,9.530901,wallet,0,unknown,unknown,unknown,unknown,20,5,0
1820,7.507141,card,0,visa,credit,kotak_mahindra,business,7,4,0
1917,7.559038,upi,0,unknown,unknown,unknown,unknown,13,2,0
10291,9.239122,wallet,0,unknown,unknown,unknown,unknown,6,4,0
16977,9.739674,upi,0,unknown,unknown,unknown,unknown,7,6,0
5509,8.61432,upi,0,unknown,unknown,unknown,unknown,1,2,0
134,4.905275,upi,0,unknown,unknown,unknown,unknown,18,3,0
4310,8.368925,upi,0,unknown,unknown,unknown,unknown,17,3,0
15050,9.6192,netbanking,0,unknown,unknown,unknown,unknown,19,6,0
718,6.577861,upi,0,unknown,unknown,unknown,unknown,16,5,0
844,6.739337,card,0,visa,prepaid,icici,business,0,6,0
489,6.194405,card,0,mastercard,credit,rbl,consumer,14,4,0
2859,7.958577,pay_later,0,unknown,unknown,unknown,unknown,5,4,0
2807,7.940228,netbanking,0,unknown,unknown,unknown,unknown,8,1,0
1842,7.51915,upi,0,unknown,unknown,unknown,unknown,14,6,0
5088,8.534837,card,1,rupay,credit,hdfc,consumer,11,0,0
381,5.945421,card,0,mastercard,debit,yes_bank,consumer,1,5,0
2877,7.964851,pay_later,0,unknown,unknown,unknown,unknown,2,6,0
2665,7.888335,upi,0,unknown,unknown,unknown,unknown,22,1,0
2998,8.006034,netbanking,0,unknown,unknown,unknown,unknown,2,6,0
985,6.893656,card,0,mastercard,prepaid,sbi,consumer,4,0,0
3110,8.042699,card,1,rupay,credit,kotak_mahindra,consumer,0,2,1
5608,8.632128,netbanking,0,unknown,unknown,unknown,unknown,13,1,0
1008,6.916715,card,0,mastercard,credit,yes_bank,consumer,17,0,0
3619,8.194229,card,0,mastercard,debit,axis,consumer,6,3,0
1415,7.255591,upi,0,unknown,unknown,unknown,unknown,9,4,0
13541,9.513551,card,0,amex,credit,indusind,business,2,4,0
7335,8.900549,upi,0,unknown,unknown,unknown,unknown,20,2,0
4883,8.49372,pay_later,0,unknown,unknown,unknown,unknown,10,3,0
1214,7.102499,upi,0,unknown,unknown,unknown,unknown,22,5,0
3047,8.022241,upi,0,unknown,unknown,unknown,unknown,5,3,0
24229,10.095347,pay_later,0,unknown,unknown,unknown,unknown,13,5,0
4994,8.516193,upi,0,unknown,unknown,unknown,unknown,19,1,0
2377,7.774015,upi,0,unknown,unknown,unknown,unknown,9,5,0
6405,8.76499,upi,0,unknown,unknown,unknown,unknown,15,6,0
5632,8.636397,upi,0,unknown,unknown,unknown,unknown,3,6,0
3858,8.258163,wallet,0,unknown,unknown,unknown,unknown,1,2,0
6036,8.705662,upi,0,unknown,unknown,unknown,unknown,10,3,0
7281,8.893161,card,0,rupay,prepaid,kotak_mahindra,consumer,9,1,0
11738,9.370672,wallet,0,unknown,unknown,unknown,unknown,17,2,0
2599,7.863267,card,0,rupay,credit,rbl,business,1,6,0
3208,8.073715,upi,0,unknown,unknown,unknown,unknown,9,5,0
11600,9.358847,upi,0,unknown,unknown,unknown,unknown,11,1,0
7060,8.862342,card,0,visa,credit,hdfc,business,15,1,0
4585,8.430763,card,0,visa,credit,icici,consumer,1,2,0
1685,7.430114,wallet,1,unknown,unknown,unknown,unknown,18,3,0
2770,7.926964,upi,0,unknown,unknown,unknown,unknown,11,5,0
1936,7.568896,card,0,visa,credit,axis,consumer,23,0,0
993,6.901737,card,1,rupay,credit,yes_bank,consumer,18,6,0
1349,7.20786,upi,0,unknown,unknown,unknown,unknown,0,5,0
7751,8.955706,pay_later,0,unknown,unknown,unknown,unknown,19,2,0
8849,9.088173,card,0,visa,prepaid,sbi,consumer,11,0,0
953,6.860664,netbanking,0,unknown,unknown,unknown,unknown,0,1,0
1311,7.179308,netbanking,0,unknown,unknown,unknown,unknown,1,3,0
3400,8.131825,card,0,rupay,debit,rbl,consumer,8,3,0
4452,8.401333,upi,0,unknown,unknown,unknown,unknown,12,5,0
5173,8.551401,card,0,mastercard,debit,rbl,consumer,14,2,0
5251,8.566364,card,0,mastercard,credit,sbi,consumer,22,3,0
1842,7.51915,pay_later,0,unknown,unknown,unknown,unknown,4,1,0
8101,8.999866,upi,0,unknown,unknown,unknown,unknown,1,2,0
5531,8.618305,wallet,0,unknown,unknown,unknown,unknown,18,6,0
62478,11.042586,card,0,rupay,debit,sbi,consumer,0,6,0
1732,7.457609,card,0,visa,debit,icici,consumer,23,0,0
1854,7.52564,upi,0,unknown,unknown,unknown,unknown,5,0,0
4737,8.46337,upi,0,unknown,unknown,unknown,unknown,4,6,0
6263,8.742574,card,0,visa,credit,sbi,consumer,19,0,0
3439,8.143227,upi,0,unknown,unknown,unknown,unknown,11,6,0
3555,8.176392,pay_later,0,unknown,unknown,unknown,unknown,2,1,0
1371,7.224025,pay_later,0,unknown,unknown,unknown,unknown,1,0,0
1287,7.160846,upi,0,unknown,unknown,unknown,unknown,21,6,0
1697,7.437206,card,1,mastercard,debit,indusind,consumer,14,0,0
9970,9.207436,card,0,rupay,debit,indusind,consumer,17,1,0
713,6.570883,netbanking,0,unknown,unknown,unknown,unknown,6,4,0
411,6.021023,card,0,visa,debit,rbl,consumer,19,3,0
1427,7.26403,card,0,amex,credit,kotak_mahindra,business,20,2,0
3024,8.014666,emi,0,unknown,unknown,unknown,unknown,20,0,0
55098,10.916887,card,0,mastercard,credit,kotak_mahindra,consumer,7,1,0
8851,9.088399,card,0,visa,prepaid,yes_bank,consumer,14,1,0
48857,10.796673,wallet,0,unknown,unknown,unknown,unknown,12,3,0
1673,7.422971,card,0,visa,debit,sbi,consumer,20,2,0
10263,9.236398,card,1,rupay,credit,indusind,consumer,2,6,0
457,6.126869,card,0,rupay,debit,icici,consumer,20,5,0
1015,6.923629,card,0,mastercard,credit,icici,consumer,11,6,0
30028,10.309919,card,0,mastercard,credit,icici,consumer,1,2,1
1053,6.960348,upi,0,unknown,unknown,unknown,unknown,19,4,0
3868,8.260751,pay_later,0,unknown,unknown,unknown,unknown,5,3,0
5489,8.610684,netbanking,0,unknown,unknown,unknown,unknown,4,3,1
4850,8.48694,card,0,visa,credit,kotak_mahindra,consumer,9,2,0
9257,9.133243,card,0,mastercard,debit,kotak_mahindra,consumer,20,1,0
2706,7.903596,netbanking,0,unknown,unknown,unknown,unknown,21,0,0
4503,8.412721,pay_later,0,unknown,unknown,unknown,unknown,14,2,0
472,6.159095,upi,0,unknown,unknown,unknown,unknown,16,5,0
6053,8.708474,netbanking,0,unknown,unknown,unknown,unknown,16,6,0
3974,8.28778,upi,0,unknown,unknown,unknown,unknown,5,5,0
2019,7.610853,netbanking,0,unknown,unknown,unknown,unknown,1,4,0
257,5.55296,upi,0,unknown,unknown,unknown,unknown,8,0,0
848,6.744059,upi,0,unknown,unknown,unknown,unknown,19,6,0
1946,7.574045,card,0,rupay,credit,sbi,consumer,17,1,0
2716,7.907284,wallet,0,unknown,unknown,unknown,unknown,1,5,0
3171,8.062118,upi,0,unknown,unknown,unknown,unknown,0,2,0
5368,8.588397,netbanking,0,unknown,unknown,unknown,unknown,20,6,0
1402,7.246368,card,0,rupay,credit,hdfc,consumer,8,0,0
6610,8.79649,card,0,mastercard,credit,hdfc,consumer,2,4,0
742,6.610696,pay_later,0,unknown,unknown,unknown,unknown,19,1,0
540,6.293419,upi,0,unknown,unknown,unknown,unknown,14,6,0
3437,8.142645,upi,0,unknown,unknown,unknown,unknown,22,5,0
8733,9.074979,card,0,amex,credit,rbl,consumer,20,4,0
1316,7.183112,card,0,amex,credit,kotak_mahindra,consumer,15,0,0
4613,8.43685,netbanking,0,unknown,unknown,unknown,unknown,9,0,0
26450,10.183049,card,0,visa,debit,axis,consumer,18,5,0
3252,8.087333,card,0,visa,debit,indusind,consumer,1,2,0
30158,10.314239,card,0,mastercard,credit,yes_bank,consumer,7,5,0
7819,8.96444,card,0,rupay,debit,axis,consumer,12,4,0
1838,7.516977,netbanking,0,unknown,unknown,unknown,unknown,18,3,0
3203,8.072155,upi,0,unknown,unknown,unknown,unknown,17,3,0
15933,9.67621,netbanking,0,unknown,unknown,unknown,unknown,16,3,0
1545,7.343426,card,0,visa,debit,axis,consumer,13,6,0
974,6.882437,wallet,0,unknown,unknown,unknown,unknown,9,0,0
8671,9.067855,upi,0,unknown,unknown,unknown,unknown,17,3,0
2247,7.717796,upi,0,unknown,unknown,unknown,unknown,1,1,0
5552,8.622094,netbanking,0,unknown,unknown,unknown,unknown,12,0,0
29205,10.282129,netbanking,0,unknown,unknown,unknown,unknown,20,3,0
924,6.829794,card,0,rupay,credit,yes_bank,business,16,2,0
3561,8.178077,upi,0,unknown,unknown,unknown,unknown,5,0,0
1540,7.340187,card,0,visa,debit,yes_bank,consumer,14,5,0
720,6.580639,netbanking,0,unknown,unknown,unknown,unknown,20,3,0
2314,7.747165,upi,0,unknown,unknown,unknown,unknown,14,5,0
3508,8.163086,upi,0,unknown,unknown,unknown,unknown,7,0,0
4504,8.412943,netbanking,0,unknown,unknown,unknown,unknown,13,6,0
9535,9.162829,card,0,amex,credit,yes_bank,business,16,5,0
6871,8.83521,emi,0,unknown,unknown,unknown,unknown,1,2,1
11410,9.342333,wallet,0,unknown,unknown,unknown,unknown,4,0,0
27592,10.225317,upi,0,unknown,unknown,unknown,unknown,8,5,0
16262,9.696648,netbanking,0,unknown,unknown,unknown,unknown,12,6,0
7029,8.857942,netbanking,0,unknown,unknown,unknown,unknown,15,6,1
1455,7.283448,wallet,0,unknown,unknown,unknown,unknown,5,4,0
7401,8.909506,pay_later,0,unknown,unknown,unknown,unknown,22,3,0
1352,7.21008,wallet,0,unknown,unknown,unknown,unknown,21,4,0
2339,7.757906,upi,0,unknown,unknown,unknown,unknown,7,2,0
2253,7.720462,wallet,0,unknown,unknown,unknown,unknown,4,4,0
3432,8.14119,card,0,mastercard,debit,kotak_mahindra,consumer,9,1,0
2287,7.735433,card,0,mastercard,credit,kotak_mahindra,consumer,3,5,0
1813,7.50329,upi,0,unknown,unknown,unknown,unknown,4,5,0
2577,7.854769,wallet,0,unknown,unknown,unknown,unknown,8,3,0
4869,8.490849,card,0,rupay,debit,icici,business,23,1,0
1800,7.496097,emi,0,unknown,unknown,unknown,unknown,6,4,0
8850,9.088286,pay_later,0,unknown,unknown,unknown,unknown,20,4,0
4666,8.448272,netbanking,0,unknown,unknown,unknown,unknown,8,1,0
3931,8.276903,netbanking,0,unknown,unknown,unknown,unknown,11,6,0
945,6.852243,upi,0,unknown,unknown,unknown,unknown,1,2,0
5417,8.597482,card,0,rupay,debit,hdfc,consumer,17,0,0
8941,9.098515,wallet,0,unknown,unknown,unknown,unknown,10,1,0
783,6.664409,pay_later,0,unknown,unknown,unknown,unknown,7,6,0
5185,8.553718,card,0,rupay,credit,indusind,consumer,1,2,0
3697,8.215547,card,0,mastercard,debit,sbi,consumer,7,0,0
1276,7.152269,wallet,0,unknown,unknown,unknown,unknown,19,6,0
5834,8.67163,upi,0,unknown,unknown,unknown,unknown,21,6,0
4739,8.463792,card,0,rupay,credit,icici,consumer,18,6,0
8974,9.102198,pay_later,0,unknown,unknown,unknown,unknown,6,6,0
3432,8.14119,upi,0,unknown,unknown,unknown,unknown,15,1,0
2860,7.958926,netbanking,0,unknown,unknown,unknown,unknown,17,0,0
4056,8.308199,card,0,visa,debit,yes_bank,consumer,11,4,0
1894,7.546974,upi,0,unknown,unknown,unknown,unknown,18,0,0
2282,7.733246,netbanking,0,unknown,unknown,unknown,unknown,15,4,0
2407,7.786552,netbanking,0,unknown,unknown,unknown,unknown,22,0,0
2799,7.937375,pay_later,0,unknown,unknown,unknown,unknown,20,2,0
10059,9.216322,upi,0,unknown,unknown,unknown,unknown,9,4,0
9018,9.107089,upi,0,unknown,unknown,unknown,unknown,22,0,0
5386,8.591744,upi,0,unknown,unknown,unknown,unknown,8,4,0
2321,7.750184,card,0,mastercard,credit,hdfc,consumer,2,4,0
11761,9.372629,wallet,0,unknown,unknown,unknown,unknown,22,4,0
15957,9.677716,wallet,0,unknown,unknown,unknown,unknown,13,1,0
1054,6.961296,wallet,0,unknown,unknown,unknown,unknown,8,2,0
289,5.669881,card,0,rupay,debit,icici,consumer,21,2,0
4663,8.447629,upi,1,unknown,unknown,unknown,unknown,17,5,0
6605,8.795734,netbanking,0,unknown,unknown,unknown,unknown,7,5,0
9048,9.11041,upi,0,unknown,unknown,unknown,unknown,11,3,0
2397,7.78239,upi,0,unknown,unknown,unknown,unknown,23,0,0
14514,9.582938,card,0,visa,prepaid,axis,consumer,8,5,0
4956,8.508556,card,0,mastercard,debit,hdfc,consumer,4,5,0
